"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[2, 2, 2]","[17, 18, 19]","[2, 2, 2]","[0, 0, 0]","[2, 2, 2]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]"
"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[2, 2, 2]","[0, 0, 0]","[12, 13, 13]","[121, 128, 132]","[125, 132, 133]","[52, 55, 56]","[0, 0, 0]","[2, 2, 2]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]"
"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[4, 4, 4]","[22, 23, 25]","[111, 120, 123]","[13, 13, 15]","[1, 1, 2]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]"
"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[3, 3, 4]","[0, 0, 0]","[84, 91, 84]","[30, 34, 30]","[0, 0, 0]","[3, 3, 4]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]"
"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[2, 1, 2]","[0, 0, 0]","[16, 15, 26]","[119, 125, 159]","[60, 60, 82]","[12, 10, 18]","[0, 1, 0]","[2, 1, 2]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]"
"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[2, 2, 3]","[0, 0, 0]","[31, 30, 58]","[87, 77, 198]","[82, 71, 214]","[85, 69, 208]","[86, 72, 195]","[25, 21, 49]","[0, 0, 0]","[2, 2, 3]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]"
"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 2]","[1, 1, 2]","[6, 5, 7]","[84, 72, 172]","[79, 68, 207]","[65, 53, 193]","[67, 52, 199]","[79, 59, 207]","[77, 61, 167]","[6, 5, 8]","[1, 1, 2]","[1, 1, 2]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]"
"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[2, 2, 4]","[0, 0, 0]","[46, 40, 79]","[91, 76, 206]","[67, 58, 192]","[63, 53, 197]","[61, 43, 193]","[63, 44, 186]","[89, 69, 211]","[50, 39, 95]","[0, 0, 0]","[2, 2, 3]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]"
"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 2]","[1, 0, 1]","[9, 8, 13]","[85, 70, 172]","[75, 57, 195]","[60, 48, 185]","[60, 45, 194]","[60, 40, 193]","[60, 40, 185]","[69, 48, 187]","[87, 65, 187]","[16, 12, 26]","[0, 0, 1]","[2, 2, 3]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]"
"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[2, 2, 4]","[0, 0, 0]","[48, 40, 85]","[93, 73, 208]","[70, 50, 189]","[60, 44, 187]","[60, 44, 190]","[60, 40, 189]","[60, 43, 188]","[66, 47, 187]","[90, 69, 208]","[60, 47, 109]","[0, 0, 0]","[2, 2, 3]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]"
"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[5, 4, 5]","[77, 63, 151]","[80, 61, 200]","[66, 46, 189]","[59, 42, 189]","[60, 45, 193]","[59, 41, 189]","[58, 40, 189]","[63, 44, 188]","[76, 56, 198]","[89, 70, 180]","[20, 17, 31]","[0, 0, 0]","[2, 2, 3]","[1, 1, 1]","[1, 1, 1]"
"[1, 1, 1]","[1, 1, 1]","[2, 2, 3]","[0, 0, 0]","[29, 24, 48]","[85, 71, 191]","[68, 51, 191]","[60, 42, 182]","[55, 43, 184]","[58, 46, 189]","[57, 43, 190]","[55, 41, 184]","[58, 41, 181]","[65, 47, 187]","[84, 66, 202]","[61, 49, 113]","[0, 0, 0]","[2, 2, 3]","[1, 1, 1]","[1, 1, 1]"
"[1, 1, 1]","[1, 1, 1]","[2, 2, 4]","[0, 0, 0]","[54, 45, 104]","[79, 63, 197]","[63, 43, 181]","[59, 40, 177]","[56, 44, 182]","[54, 42, 184]","[59, 46, 194]","[57, 45, 186]","[58, 40, 176]","[62, 42, 179]","[73, 56, 194]","[80, 62, 161]","[7, 5, 8]","[0, 0, 0]","[1, 1, 2]","[1, 1, 1]"
"[1, 1, 1]","[1, 1, 1]","[1, 1, 2]","[0, 0, 0]","[63, 52, 126]","[76, 57, 195]","[65, 45, 186]","[62, 45, 188]","[60, 43, 191]","[56, 45, 193]","[55, 45, 194]","[59, 42, 192]","[62, 45, 188]","[64, 45, 187]","[70, 50, 191]","[83, 66, 179]","[16, 13, 23]","[0, 0, 0]","[2, 2, 2]","[1, 1, 1]"
"[1, 1, 1]","[1, 1, 1]","[1, 1, 2]","[0, 0, 0]","[66, 55, 126]","[81, 60, 199]","[69, 50, 191]","[66, 50, 193]","[58, 45, 191]","[57, 53, 199]","[58, 56, 200]","[58, 49, 194]","[65, 49, 192]","[68, 50, 191]","[76, 54, 196]","[83, 64, 173]","[12, 10, 15]","[0, 0, 0]","[2, 1, 2]","[1, 1, 1]"
"[1, 1, 1]","[1, 1, 1]","[2, 2, 4]","[0, 0, 0]","[51, 45, 94]","[84, 67, 197]","[71, 51, 189]","[70, 54, 195]","[63, 54, 193]","[60, 58, 200]","[63, 57, 201]","[63, 54, 193]","[68, 55, 195]","[71, 52, 190]","[81, 61, 199]","[72, 56, 137]","[2, 2, 1]","[1, 1, 2]","[1, 1, 1]","[1, 1, 1]"
"[1, 1, 1]","[1, 1, 1]","[2, 2, 3]","[0, 0, 0]","[19, 18, 30]","[85, 70, 175]","[80, 61, 190]","[71, 52, 184]","[66, 54, 188]","[66, 65, 199]","[68, 63, 197]","[67, 54, 189]","[69, 52, 186]","[76, 57, 184]","[92, 73, 195]","[36, 29, 59]","[0, 0, 0]","[2, 2, 3]","[1, 1, 1]","[1, 1, 1]"
"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[2, 2, 3]","[0, 0, 0]","[43, 38, 74]","[89, 74, 188]","[82, 68, 197]","[71, 58, 194]","[67, 60, 195]","[68, 63, 197]","[68, 56, 194]","[81, 65, 194]","[96, 77, 198]","[60, 49, 103]","[1, 1, 0]","[2, 1, 2]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]"
"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 2]","[3, 3, 0]","[48, 47, 68]","[82, 79, 138]","[94, 92, 166]","[92, 89, 177]","[89, 85, 177]","[101, 96, 169]","[105, 98, 158]","[58, 54, 85]","[2, 3, 0]","[1, 1, 2]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]"
"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[2, 2, 3]","[0, 0, 0]","[5, 6, 0]","[18, 19, 12]","[26, 26, 24]","[28, 28, 26]","[25, 26, 19]","[13, 14, 6]","[0, 0, 0]","[1, 0, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]"
